~iteration~,knn_monitor_accuracy
0,29.75
1,32.0
2,34.75
3,31.75
4,34.75
5,32.25
6,32.5
7,33.75
8,32.75
9,32.5
10,33.5
11,34.0
12,36.5
13,31.0
14,33.0
15,34.75
16,32.75
17,32.0
18,32.75
19,34.5
20,33.25
21,36.5
22,35.5
23,34.0
24,34.5
25,38.5
26,36.0
27,34.75
28,35.5
29,36.25
30,35.0
31,33.75
32,37.0
33,37.75
34,35.25
35,34.75
36,35.0
37,35.75
38,36.0
39,39.25
40,35.5
41,35.25
42,37.75
43,36.25
44,40.75
45,41.25
46,39.5
47,36.75
48,40.5
49,39.0
50,38.25
51,41.75
52,38.5
53,39.75
54,39.75
55,37.5
56,40.5
57,41.25
58,41.25
59,39.5
60,39.0
61,38.25
62,43.5
63,41.25
64,39.75
65,43.5
66,40.75
67,45.0
68,39.75
69,41.0
70,43.75
71,41.75
72,42.25
73,46.0
74,44.75
75,42.5
76,45.25
77,44.5
78,45.75
79,44.75
80,46.25
81,44.0
82,48.75
83,44.75
84,46.0
85,45.0
86,45.0
87,48.75
88,45.75
89,46.5
90,43.25
91,49.25
92,46.75
93,47.25
94,47.0
95,48.5
96,50.5
97,46.75
98,47.5
99,48.25
100,47.5
101,50.0
102,47.25
103,51.0
104,47.5
105,46.75
106,50.74999999999999
107,49.5
108,49.0
109,49.0
110,50.5
111,48.0
112,49.5
113,50.24999999999999
114,48.75
115,49.0
116,47.5
117,50.24999999999999
118,48.25
119,48.75
120,49.25
121,49.25
122,48.75
123,51.24999999999999
124,49.25
125,48.0
126,49.5
127,48.5
128,49.25
129,49.0
130,51.0
131,51.0
132,49.5
133,50.0
134,48.75
135,49.75
136,49.0
137,51.24999999999999
138,52.25
139,49.5
140,52.25
141,53.75
142,54.0
143,49.5
144,49.5
145,51.74999999999999
146,49.25
147,50.74999999999999
148,51.74999999999999
149,51.74999999999999
150,52.5
151,51.0
152,52.0
153,48.5
154,52.75
155,50.0
156,51.74999999999999
157,52.5
158,49.25
159,49.75
160,50.24999999999999
161,49.25
162,50.0
163,50.74999999999999
164,51.24999999999999
165,49.75
166,51.74999999999999
167,48.25
168,51.74999999999999
169,51.5
170,51.0
171,49.75
172,51.24999999999999
173,50.74999999999999
174,52.0
175,52.0
176,50.5
177,50.0
178,50.5
179,50.74999999999999
180,51.0
181,53.25
182,49.5
183,53.5
184,52.0
185,51.24999999999999
186,50.0
187,49.75
188,51.5
189,52.0
190,51.74999999999999
191,50.5
192,50.0
193,50.24999999999999
194,50.5
195,50.74999999999999
196,49.5
197,49.0
198,53.5
199,49.75
200,50.24999999999999
201,53.0
202,52.25
203,50.24999999999999
204,51.0
205,51.74999999999999
206,50.74999999999999
207,49.75
208,49.0
209,51.74999999999999
210,49.25
211,51.0
212,51.5
213,47.5
214,51.0
215,50.24999999999999
216,49.25
217,50.74999999999999
218,49.0
219,51.24999999999999
220,50.5
221,51.24999999999999
222,52.25
223,51.74999999999999
224,52.0
225,50.0
226,50.5
227,50.5
228,47.75
229,51.5
230,50.0
231,50.0
232,51.0
233,51.74999999999999
234,50.24999999999999
235,50.5
236,50.5
237,51.24999999999999
238,50.74999999999999
239,51.24999999999999
240,51.24999999999999
241,50.74999999999999
242,51.24999999999999
243,51.0
244,50.74999999999999
245,51.74999999999999
246,52.0
247,51.0
248,52.25
249,50.0
250,51.24999999999999
251,49.75
252,51.5
253,52.25
254,51.5
255,50.74999999999999
256,49.5
257,54.25
258,51.24999999999999
259,52.5
260,52.5
261,50.24999999999999
262,52.75
263,52.25
264,53.75
265,53.75
266,53.5
267,50.5
268,51.5
269,52.75
270,51.5
271,52.5
272,51.74999999999999
273,52.0
274,51.74999999999999
275,53.5
276,51.0
277,51.5
278,52.0
279,52.25
280,53.25
281,55.00000000000001
282,51.5
283,53.5
284,51.74999999999999
285,51.5
286,52.5
287,51.5
288,53.75
289,53.5
290,50.5
291,52.0
292,53.0
293,52.75
294,53.0
295,53.0
296,53.75
297,52.75
298,53.0
299,50.74999999999999
300,53.5
301,53.5
302,51.5
303,52.25
304,52.75
305,53.5
306,52.25
307,52.0
308,53.75
309,52.5
310,54.25
311,53.75
312,53.25
313,52.0
314,53.0
315,53.25
316,53.25
317,52.0
318,52.5
319,52.75
320,53.0
321,52.25
322,54.25
323,53.25
324,54.25
325,55.00000000000001
326,52.5
327,53.0
328,53.25
329,54.25
330,54.0
331,53.0
332,54.75
333,52.5
334,53.5
335,53.5
336,53.75
337,54.50000000000001
338,54.25
339,54.25
340,54.50000000000001
341,54.25
342,53.25
343,52.5
344,54.0
345,54.50000000000001
346,52.25
347,54.75
348,54.50000000000001
349,54.50000000000001
350,52.5
351,54.50000000000001
352,56.25
353,55.50000000000001
354,54.75
355,53.25
356,53.25
357,53.25
358,53.5
359,53.5
360,54.50000000000001
361,54.75
362,55.25
363,54.0
364,54.25
365,54.75
366,55.00000000000001
367,54.0
368,54.25
369,53.75
370,53.5
371,55.25
372,55.00000000000001
373,54.75
374,54.50000000000001
375,54.50000000000001
376,54.0
377,54.50000000000001
378,53.75
379,53.75
380,53.25
381,53.5
382,53.5
383,53.75
384,54.0
385,53.75
386,54.25
387,54.0
388,54.0
389,54.25
390,54.50000000000001
391,54.0
392,54.0
393,54.25
394,54.50000000000001
395,54.50000000000001
396,54.50000000000001
397,54.50000000000001
398,54.25
399,54.0
400,54.25
